ID,Name,Ecoregion,HUC,County,DA_mi2,DACAT,US_Lat,US_Long,DS_Lat,DS_Long,BA_ft2,BW_ft,BD_ft,WDR,ER,Slope_per,StreamType,SA_length,SA_area,FlowRegime,CFPs,AB,LWD_uslat,LWD_uslong,LWD_dslat,LWD_Dslong,LWD_frequency,wBHR,wER,perRiffle,median_PSR,avg_PDR,L_Bufferwidth,R_Bufferwidth,avgBasalarea,Avgherbcover,avgshrub,avgcanopy,invasive_non,Erodingstreambank_length,Per_erodingbank,BEHI_NBS,Bedmaterial,d50,d84,funcap_reachrunoff,funcap_FPC,funcap_alateral,funcap_BFD,funcap_riparianveg,valleytype,imperviouscover,weightedavgrunoff,D16
IP5,Middle Branch Mill Creek,IP,5060002,Adams,3.76,2,38.759039,-83.394989,38.75873,-83.393655,40.6,24.1,1.68,14.3,3.2,0.3,C1,521,12556,Perennial,N,N,38.759023,-83.394995,38.758641,-83.393986,9,1.7,2.9,42,4,1.8,1284,213,24.11,61,34,74,4,115,11,M/M,Bedrock,NA,NA,F,FAR,F,FAR,F,confined alluvial,0.9,0.85,0.94
IP6,Waggoner Run,IP,5090201,Adams,0.34,1,38.720365,-83.432001,38.719779,-83.432361,8.9,14.4,0.62,23.4,1.3,3.3,B4,262,3773,Perennial,N,N,38.720361,-83.431988,38.719776,-83.432346,45,1.3,1.3,61,1.4,2.3,82,206,25.72,21,57,50,1,45,9,M/H,Gravel ,32,100,FAR,F,FAR,F,F,colluvial,1,0,3.5
IP7,UT to Cedar Run,IP,5090201,Adams,1.85,2,38.840726,-83.367813,38.839213,-83.368082,33.5,22.6,1.48,15.3,1.8,0.8,C4,607,13718,Intermittent,N,N,38.839993,-83.368077,38.839213,-83.368082,38,1.6,2.2,41,3,2.4,212,614,31.95,54,62,54,14,36,3,L/M,Gravel ,42,74,FAR,FAR,F,FAR,FAR,unconfined alluvial,0.8,0.77,8
IP9,Indian Lick,IP,5090201,Brown,2.79,2,38.758625,-83.759602,38.757396,-83.75798,35.3,30.4,1.16,26.2,1.7,2.7,B3,676,20550,Intermittent,N,N,38.758486,-83.759409,38.757709,-83.75868061,11,1,1.8,55,4.3,2.9,1583,430,34.85,48,42,34,54,320,24,M/M,Cobble,92,220,F,F,F,FAR,FAR,colluvial,0.5,0.68,50
IP10,Cedar Run,IP,5090201,Adams,4.7,2,38.838439,-83.369082,38.838581,-83.370721,62.5,25.9,2.41,10.7,5.2,0.1,C1,581,15048,Intermittent,N,N,38.838779,-83.369445,38.838667,-83.370451,21,1.3,4.9,42,2.8,1.7,304,330,20.92,46,54,58,42,175,15,M/M,Bedrock,NA,NA,FAR,F,F,FAR,FAR,unconfined alluvial,0.6,0.73,NA
IP11,Brushy Fork,IP,5090201,Brown,4.11,2,38.746081,-83.726626,38.747336,-83.727714,62.5,33.5,1.87,17.9,1.8,0.7,C3,610,20435,Intermittent,N,N,38.746583,-83.726699,38.747044,-83.727503,17,1.9,4.4,36,3.6,1.8,517,286,12.85,66,15,50,6,58,5,VL/M,Cobble/Bedrock,100,250,F,FAR,F,F,FAR,confined alluvial,0.7,0.7,32
IP12,Eagle Creek,IP,5090201,Brown,124.37,3,38.744639,-83.738602,38.744345,-83.748106,524.6,127.8,4.1,31.2,1.5,0.019,C3,3067,391963,Perennial,N,N,38.743735,-83.739488,38.743211,-83.74072,5,1.4,1.3,34,14.1,0.7,1845,251,19.53,66,50,62,10,684,11,L/M,Cobble,66,150,F,FAR,F,FAR,F,unconfined alluvial,1.3,0.47,7
IP13,UT Brushy Fork,IP,5090201,Brown,0.39,1,38.743921,-83.728336,38.74516434,-83.727281,27.3,28.1,0.97,28.9,1.2,4.4,B4,568,15961,Intermittent,N,N,38.743922,-83.728342,38.744579,-83.727592,8,1,1.8,65,3.1,3,258,249,17.79,15,21,50,21,12,1,H/H,Gravel ,62,140,F,F/FAR,F,FAR,F,colluvial,0,0.85,17
IP14,Baker Fork,IP,5090201,Adams,41.28,3,39.050352,-83.406946,39.048789,-83.409854,180.6,52.4,3.45,15.2,10.7,0.1,C3,1285,67334,Perennial,N,N,39.049821,-83.409796,39.048941,-83.409926,17,1.6,12.3,23,3.6,1.6,130,173,14.42,49,30,36,30,996,39,H/L,Cobble,110,180,F,NF,FAR,FAR,F,unconfined alluvial,1,0.59,40
IP15,Little East Fork Ohio Brush Creek,IP,5090201,Adams,5.94,2,38.976633,-83.475934,38.97487,-83.474115,84.7,43.5,1.95,22.3,1.5,0.9,B1c,1026,44631,Int/Per ,N,N,38.975437,-83.474819,38.97486,-83.47411,18,1.4,1.5,61,6.4,0.9,229,597,30.04,19,51,42,4,0,0,M/L,Bedrock,NA,NA,F,NF/FAR,FAR,FAR,F,colluvial,0.4,0.88,NA
IP16,Howard Creek,IP,5080003,Hamilton,7.3,2,39.285683,-84.744217,39.28415,-84.741916,97.8,40.7,2.4,16.9,2.1,0.3,C3,915,37241,Int/Per ,N,N,39.285676,-84.744228,39.285157,-84.743334,28,1,1.7,23,3.7,2.1,112,127,15.1,74,4,62,39,589,32,H/VH,Cobble,65,120,FAR,NF,FAR,FAR,FAR,unconfined alluvial,2.1,0.36,10
HELP1,Sugar Creek ,HELP,4100011,Seneca,13.01,2,41.201052,-83.128902,41.202276,-83.12795,64.7,31.4,2.06,15.2,2.2,0.4,C4,690,21666,Perennial,Y,N,41.200883,-83.1289322,41.2017514,-83.1289285,62,1.6,4.1,19,2.6,2.2,110,197,29.39,29,28,48,16,337,24,H/M,Gravel ,12,27,F,FAR,FAR,FAR,F,unconfined alluvial,NA,NA,6.4
HELP2,UT Sandusky ,HELP,4100011,Seneca,0.46,1,41.197832,-83.131095,41.198453,-83.13129,9.4,12.1,0.78,15.5,4.6,0.5,C4,359,4344,Intermittent,N,N,41.1978322,-83.13109479,41.1984016,-83.1313252,55,1.1,4.3,50,5.1,2.4,189,126,26.5,12,21,69,2,199,28,M/VH,Gravel ,17,54,F,F,FAR,F,F,confined alluvial,NA,NA,4.8
HELP3,Willet Creek,HELP,4100009,Defiance ,4.8,2,41.285486,-84.271339,41.286996,-84.270525,74.6,30.2,2.47,12.2,3.7,0.3,C4,716,21623,Intermittent,N,N,41.2863371,-84.27091457,41.2869957,-84.27052516,107,1,4,31,2.7,1.7,360,460,31.1,25,23,67,2,420,29,H/M,Gravel ,15,34,F,F,FAR,F,F,confined alluvial,NA,NA,0.54
HELP4,UT1 to Powell Creek,HELP,4100007,Defiance ,0.41,1,41.253066,-84.372297,41.253012,-84.37305,12.7,14.8,0.85,17.4,2.2,0.5,B4c,361,5343,Intermittent,N,N,41.2530585,-84.37231837,41.2530116,-84.3730497,45,1.4,1.8,35,5.6,2.6,236,464,25.99,8,18,57,0,265,37,H/H,Gravel ,11,26,F,FAR,FAR,F,F,confined alluvial,NA,NA,0.41
HELP5,Powell Creek,HELP,4100007,Defiance ,97.09,3,41.249375,-84.372395,41.251799,-84.373001,250.1,59.4,4.21,14.1,5.7,0.3,C4,1253,74428,Perennial,N,N,41.249714,-84.37203524,41.2501259,-84.37176902,44,1,6.8,48,2.3,1.4,377,316,23.23,50,18,73,7,576,23,M/L,Gravel ,45,97,F,F,F,F,F,unconfined alluvial,NA,NA,14
HELP6,UT2 to Powell Creek,HELP,4100007,Defiance ,0.51,1,41.247332,-84.37127,41.247056,-84.372048,10.5,11.3,0.93,12.1,2.5,0.4,C4,329,3718,Intermittent,N,N,41.2473316,-84.37127026,41.2470564,-84.3720481,27,1,2.2,20,6.3,2.1,210,122,30.24,15,1,69,2,244,37,H/VH,Gravel ,3,9,F,F,FAR,FAR,F,unconfined alluvial,NA,NA,0.47
HELP7,Marie De Larme,HELP,4100005,Paulding,27.42,3,41.229581,-84.660959,41.227929,-84.66007,138.7,37.5,3.69,10.2,8,0.16,E4,880,33000,Perennial,N,N,41.2291192,-84.6611188,41.2285897,-84.66078183,86,1.1,8.9,13,4.7,1.6,309,267,31.12,12,44,54,1,338,19,M/M,Gravel ,16,49,F,F,F,FAR,F,unconfined alluvial,NA,NA,3.8
HELP8,Mill Creek,HELP,4100006,Fulton,40.47,3,41.605731,-84.314779,41.603476,-84.313544,216,44.1,4.9,9,34,0.04,E6,939,41410,Perennial,N,N,41.6054768,-84.31471156,41.6047375,-84.31436107,133,1,29.8,10,11.1,1.5,425,640,29.18,52,21,73,2,130,7,M/M,Silt/clay,NA,NA,FAR,FAR,F,NF,FAR,unconfined alluvial,NA,NA,NA
